"Name","Region","Electorate_05","CON_05","LAB_05","LIB_05","NAT_05","MIN_05","OTH_05","Abstained_05","Winner_05","CON_share_05","LAB_share_05","LIB_share_05","NAT_share_05","MIN_share_05","OTH_share_05","CON_share_all_05","LAB_share_all_05","LIB_share_all_05","NAT_share_all_05","MIN_share_all_05","OTH_share_all_05","Abstained_share_all_05","Electorate_10","CON_10","LAB_10","LIB_10","NAT_10","MIN_10","OTH_10","Abstained_10","Winner_10","CON_share_10","LAB_share_10","LIB_share_10","NAT_share_10","MIN_share_10","OTH_share_10","CON_share_all_10","LAB_share_all_10","LIB_share_all_10","NAT_share_all_10","MIN_share_all_10","OTH_share_all_10","Abstained_share_all_10"
"Ayrshire North and Arran",2,73737,8121,19417,7264,7938,0,1465,29532,"LAB",18.3712249745504,43.9248953738265,16.4325302567583,17.9572446555819,0,3.31410473928289,11.0134667805851,26.3327773031178,9.85122801307349,10.765287440498,0,1.98679089195384,40.0504495707718,74953,7212,21860,4630,11965,0,449,28837,"LAB",15.6388238355451,47.4022031399081,10.0398993841617,25.9454419290485,0,0.973631711336629,9.62202980534468,29.1649433645084,6.17720438141235,15.9633370245354,0,0.599042066361587,38.4734433578376
"Banbury",15,83330,25143,15409,9180,0,0,3999,29599,"CON",46.794215629711,28.6780443319499,17.085109154864,0,0,7.44263088347509,30.1728069122765,18.4915396615865,11.0164406576263,0,0,4.79899195967839,35.5202208088324,86986,29703,10773,11476,0,2806,1483,30745,"CON",52.8137835386995,19.1550648103697,20.4050425845913,0,4.98924272328017,2.63686634305933,34.1468742096429,12.384751569218,13.1929275975444,0,3.2258064516129,1.7048720483756,35.3447681236061
"Banff and Buchan",1,65570,7207,4476,4952,19044,0,1537,28354,"NAT",19.3653267411866,12.0270851246776,13.3061049011178,51.1715391229579,0,4.12994411006019,10.9913070001525,6.82629251181943,7.55223425346957,29.043770016776,0,2.34405978343755,43.242336434345,64300,11841,5382,4365,15868,0,1010,25834,"NAT",30.7830291686164,13.9915769770707,11.3476836686944,41.2520147662871,0,2.62569541933136,18.4152410575428,8.3701399688958,6.78849144634526,24.6780715396579,0,1.57076205287714,40.1772939346812
"Barking",16,75382,6073,17760,4622,0,6608,2952,37367,"LAB",15.9752729185848,46.7184006313297,12.1583585426805,0,17.3826121267921,7.76535578061292,8.05629991244594,23.5600010612613,6.1314372131278,0,8.76601841288371,3.91605423045289,49.5701891698283,73864,8073,24628,3719,0,6620,2303,28521,"LAB",17.8042917319101,54.3148887369605,8.20192753015901,0,14.5998279778577,5.07906402311272,10.9295461930034,33.3423589299253,5.03492905881079,0,8.96241741579118,3.11789234268385,38.6128560597855
"Barnsley Central",8,64698,5206,18996,6159,0,0,1797,32540,"LAB",16.1888177125443,59.0708377386653,19.1523104670688,0,0,5.5880340817215,8.04661658783888,29.3610312528981,9.51961420754892,0,0,2.77752017063897,50.2952177810752,65543,6388,17487,6394,0,3307,3425,28542,"LAB",17.2643982595065,47.2608848409502,17.2806140374584,0,8.93759628118159,9.25650658090322,9.74627343881116,26.6801946813542,9.7554277344644,0,5.04554262087485,5.22557710205514,43.5469844224402
"Barnsley East",8,65781,4215,23322,4754,0,0,1195,32295,"LAB",12.5873499372872,69.6470166636803,14.196977841486,0,0,3.56865555754644,6.40762530213892,35.4540064760341,7.22701083899606,0,0,1.81663398245694,49.094723400374,68435,6329,18059,6969,0,3301,3728,30049,"LAB",16.4877820038556,47.0457979471682,18.1550565310269,0,8.59948939717605,9.7118741207732,9.24819171476584,26.3885438737488,10.1833856944546,0,4.82355519836341,5.447504931687,43.9088185869803
"Barrow and Furness",4,64903,12732,17413,6825,0,0,1679,26254,"LAB",32.9426375844136,45.0542058009263,17.6589303733602,0,0,4.3442262412999,19.6169668582346,26.8292682926829,10.5156926490301,0,0,2.58693742970279,40.4511347703496,68758,16018,21226,4424,0,0,2456,24634,"LAB",36.3022391442299,48.105339497779,10.0262895476385,0,0,5.56613181035264,23.296198260566,30.8705896041188,6.43416038860933,0,0,3.57194799150644,35.8271037551994
"Basildon and Billericay",14,64873,16454,12866,4831,0,1805,3096,25821,"CON",42.133565502407,32.9458158352965,12.3706852401926,0,4.62204240499846,7.9278910171054,25.3634023399565,19.8325959952523,7.44685770659596,0,2.78235937909454,4.77240146131673,39.802383117784,65482,21922,9584,6538,0,1934,1591,23913,"CON",52.7364141547788,23.0556424258462,15.7280665880825,0,4.65250547282831,3.82737135846424,33.4779023243029,14.6360831984362,9.98442320026878,0,2.95348340001833,2.42967533062521,36.5184325463486
"Basildon South and East Thurrock",14,71107,16901,17364,4959,0,249,2447,29187,"LAB",40.3172709923664,41.4217557251908,11.8296755725191,0,0.593988549618321,5.83730916030534,23.7684053609349,24.4195367544686,6.97399693419776,0,0.350176494578593,3.4412926997342,41.0465917560859,71815,19624,13852,5977,0,2639,2643,27080,"CON",43.8672180619202,30.9645691293171,13.3609030960098,0,5.89918408405052,5.90812562870236,27.3257675972986,19.2884494882685,8.32277379377567,0,3.67471976606559,3.68028963308501,37.7079997215066
"Basingstoke",19,69353,17198,14183,9622,0,0,2710,25640,"CON",39.3429872120422,32.445725527875,22.0117585157733,0,0,6.19952874430947,24.7977737084192,20.4504491514426,13.8739492163281,0,0,3.90754545585627,36.9702824679538,75470,25590,10327,12414,0,2076,247,24816,"CON",50.5192087495558,20.3873336755241,24.5074426501362,0,4.09839301930746,0.487621905476369,33.9075129190407,13.6835828806148,16.4489201007023,0,2.75076189214257,0.327282363853187,32.8819398436465
