"Market","date_char","Outcome","Back","Lay","Matched"
"2015 UK General Election - Most Seats","03/07/2014 13:47:49","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","03/07/2014 13:47:49","Labour",1.93,1.95,NA
"2015 UK General Election - Most Seats","03/07/2014 13:47:49","Liberal Democrat",100,1000,NA
"2015 UK General Election - Most Seats","03/08/2014 09:52:45","Any Other",100,150,NA
"2015 UK General Election - Most Seats","03/08/2014 09:52:45","Conservative",2.18,2.22,NA
"2015 UK General Election - Most Seats","03/08/2014 09:52:45","Labour",1.85,1.87,NA
"2015 UK General Election - Most Seats","03/08/2014 09:52:45","Liberal Democrat",660,1000,NA
"2015 UK General Election - Most Seats","03/09/2014 10:41:25","Any Other",95,120,NA
"2015 UK General Election - Most Seats","03/09/2014 10:41:25","Conservative",2.36,2.4,NA
"2015 UK General Election - Most Seats","03/09/2014 10:41:25","Labour",1.75,1.76,NA
"2015 UK General Election - Most Seats","03/09/2014 10:41:25","Liberal Democrat",780,1000,NA
"2015 UK General Election - Most Seats","03/10/2014 10:40:52","Any Other",85,100,NA
"2015 UK General Election - Most Seats","03/10/2014 10:40:52","Conservative",2.36,2.38,NA
"2015 UK General Election - Most Seats","03/10/2014 10:40:52","Labour",1.75,1.76,NA
"2015 UK General Election - Most Seats","03/10/2014 10:40:52","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","03/10/2014 14:16:10","Any Other",85,100,NA
"2015 UK General Election - Most Seats","03/10/2014 14:16:10","Conservative",2.36,2.38,NA
"2015 UK General Election - Most Seats","03/10/2014 14:16:10","Labour",1.75,1.76,NA
"2015 UK General Election - Most Seats","03/10/2014 14:16:10","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","03/11/2014 10:42:25","Any Other",50,65,NA
"2015 UK General Election - Most Seats","03/11/2014 10:42:25","Conservative",2.26,2.28,NA
"2015 UK General Election - Most Seats","03/11/2014 10:42:25","Labour",1.83,1.85,NA
"2015 UK General Election - Most Seats","03/11/2014 10:42:25","Liberal Democrat",400,1000,NA
"2015 UK General Election - Most Seats","03/11/2014 18:37:12","Any Other",50,65,NA
"2015 UK General Election - Most Seats","03/11/2014 18:37:12","Conservative",2.26,2.28,NA
"2015 UK General Election - Most Seats","03/11/2014 18:37:12","Labour",1.83,1.85,NA
"2015 UK General Election - Most Seats","03/11/2014 18:37:12","Liberal Democrat",460,1000,NA
"2015 UK General Election - Most Seats","03/12/2014 09:35:25","Any Other",70,90,NA
"2015 UK General Election - Most Seats","03/12/2014 09:35:25","Conservative",2.16,2.18,NA
"2015 UK General Election - Most Seats","03/12/2014 09:35:25","Labour",1.89,1.91,NA
"2015 UK General Election - Most Seats","03/12/2014 09:35:25","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","03/12/2014 16:03:35","Any Other",70,90,NA
"2015 UK General Election - Most Seats","03/12/2014 16:03:35","Conservative",2.14,2.18,NA
"2015 UK General Election - Most Seats","03/12/2014 16:03:35","Labour",1.9,1.92,NA
"2015 UK General Election - Most Seats","03/12/2014 16:03:35","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","03/12/2014 19:21:08","Any Other",70,90,NA
"2015 UK General Election - Most Seats","03/12/2014 19:21:08","Conservative",2.14,2.18,NA
"2015 UK General Election - Most Seats","03/12/2014 19:21:08","Labour",1.9,1.92,NA
"2015 UK General Election - Most Seats","03/12/2014 19:21:08","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","04/06/2014 10:03:12","Any Other",95,180,NA
"2015 UK General Election - Most Seats","04/06/2014 10:03:12","Conservative",2.12,2.16,NA
"2015 UK General Election - Most Seats","04/06/2014 10:03:12","Labour",1.91,1.93,NA
"2015 UK General Election - Most Seats","04/06/2014 10:03:12","Liberal Democrat",430,960,NA
"2015 UK General Election - Most Seats","04/06/2014 16:22:15","Any Other",95,180,NA
"2015 UK General Election - Most Seats","04/06/2014 16:22:15","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","04/06/2014 16:22:15","Labour",1.9,1.93,NA
"2015 UK General Election - Most Seats","04/06/2014 16:22:15","Liberal Democrat",430,960,NA
"2015 UK General Election - Most Seats","04/07/2014 09:30:44","Any Other",140,180,NA
"2015 UK General Election - Most Seats","04/07/2014 09:30:44","Conservative",2.06,2.1,NA
"2015 UK General Election - Most Seats","04/07/2014 09:30:44","Labour",1.94,1.96,NA
"2015 UK General Election - Most Seats","04/07/2014 09:30:44","Liberal Democrat",95,1000,NA
"2015 UK General Election - Most Seats","04/09/2014 15:31:34","Any Other",90,110,NA
"2015 UK General Election - Most Seats","04/09/2014 15:31:34","Conservative",2.38,2.42,NA
