"date_char","Any Other Party or Candidate_Back","Any Other Party or Candidate_Lay","Conservative_Back","Conservative_Lay","Green_Back","Green_Lay","Labour_Back","Labour_Lay","Liberal Democrat_Back","Liberal Democrat_Lay","Pub Landlord - Al Murray_Back","Pub Landlord - Al Murray_Lay","UKIP_Back","UKIP_Lay"
"24/02/2015 08:19:27",NA,NA,2.7,3.85,50,1000,1.01,12,2,1000,80,1000,1.71,1.74
"24/02/2015 23:12:17",NA,NA,2.72,3.7,50,1000,4.8,8.4,2,1000,40,1000,1.61,1.68
"25/02/2015 09:35:53",NA,NA,2.72,3.7,110,1000,4.9,8.4,110,1000,30,1000,1.63,1.71
"25/02/2015 20:03:27",NA,NA,2.74,3.7,110,1000,4.9,14.5,110,1000,30,1000,1.63,1.77
"26/02/2015 10:16:55",NA,NA,2.78,3.6,110,1000,6.2,10.5,110,1000,30,1000,1.65,1.7
"26/02/2015 16:41:14",NA,NA,2.8,3.6,110,1000,6.2,10.5,110,1000,30,1000,1.66,1.75
"27/02/2015 10:29:49",NA,NA,3.05,5,110,1000,6.8,10.5,120,1000,30,1000,1.5,1.59
"27/02/2015 15:07:14",NA,NA,3.05,4.8,110,1000,6.6,9.8,120,1000,30,1000,1.4,1.5
"28/02/2015 08:47:26",NA,NA,3.9,4.9,110,1000,6.8,9.8,120,1000,30,1000,1.44,1.5
"28/02/2015 18:38:28",NA,NA,3.55,4.5,110,1000,8.8,9.8,120,1000,30,1000,1.45,1.5
"01/03/2015 18:58:36",NA,NA,3.95,4.4,130,1000,8.8,9.8,130,1000,30,1000,1.49,1.56
"02/03/2015 07:42:29",NA,NA,4,4.4,130,1000,8.8,9,140,1000,95,1000,1.49,1.56
"02/03/2015 16:26:18",NA,NA,4,4.4,130,1000,8.8,9,140,1000,95,1000,1.49,1.56
"03/03/2015 00:07:38",NA,NA,4,4.5,140,1000,8.6,9,110,1000,95,1000,1.49,1.5
"03/03/2015 09:20:32",NA,NA,4,4.5,140,1000,8.6,9,110,1000,95,1000,1.49,1.54
"03/03/2015 13:14:00",NA,NA,4,4.5,140,1000,8.6,9,110,1000,95,1000,1.48,1.54
"03/03/2015 17:47:23",NA,NA,4,4.5,140,1000,8.6,9,110,1000,95,1000,1.46,1.54
"04/03/2015 13:09:28",NA,NA,4,4.5,120,1000,8.6,9,110,1000,95,920,1.48,1.54
"04/03/2015 19:06:48",NA,NA,4,4.5,120,1000,8.2,9,110,1000,95,920,1.48,1.53
"05/03/2015 10:47:55",NA,NA,4,4.5,120,1000,8.2,9,110,1000,95,920,1.48,1.52
"06/03/2015 11:25:46",NA,NA,4,4.9,120,1000,7.8,9,110,1000,95,920,1.48,1.49
"06/03/2015 18:21:05",NA,NA,4,4.9,120,1000,8.2,9,110,1000,95,920,1.48,1.55
"07/03/2015 19:29:25",NA,NA,4.1,4.9,120,1000,8.2,9,55,1000,95,920,1.46,1.55
"08/03/2015 13:44:59",NA,NA,4.1,4.9,120,1000,8.2,9,55,1000,95,920,1.44,1.47
"09/03/2015 07:56:46",NA,NA,4.1,4.9,120,1000,8.2,9,55,1000,95,920,1.47,1.54
"09/03/2015 17:34:19",NA,NA,4.1,4.9,120,1000,8.2,9,55,1000,95,920,1.48,1.54
"10/03/2015 10:11:29",NA,NA,4.1,5,120,1000,8.2,9,55,1000,95,920,1.48,1.54
"10/03/2015 19:33:36",NA,NA,4,4.9,120,1000,8.2,9,55,1000,95,920,1.48,1.51
"11/03/2015 14:05:15",NA,NA,3.95,4.9,120,1000,8.2,9,55,1000,95,920,1.5,1.57
"12/03/2015 11:19:07",NA,NA,3.95,4.9,120,1000,8,9.8,55,1000,95,920,1.5,1.56
"13/03/2015 00:12:06",NA,NA,3.95,4.9,120,1000,8,9.8,55,1000,95,1000,1.5,1.56
"13/03/2015 11:28:59",NA,NA,3.95,4.9,120,1000,8,9.8,55,1000,95,1000,1.5,1.56
"14/03/2015 22:50:43",NA,NA,3.95,4.9,120,1000,8.4,9.8,55,1000,95,920,1.47,1.54
"15/03/2015 11:32:25",NA,NA,3.95,4.9,120,1000,7.8,9.8,55,1000,95,920,1.47,1.5
"16/03/2015 15:18:26",NA,NA,3.95,13.5,100,1000,8.4,9.6,110,1000,95,920,1.39,1.44
"17/03/2015 10:08:11",NA,NA,3.95,11,1.01,1000,8.8,9.6,110,1000,95,920,1.41,1.44
"17/03/2015 20:25:47",NA,NA,3.95,10.5,1.01,1000,8.8,9.6,110,1000,95,920,1.41,1.44
"18/03/2015 10:34:18",NA,NA,4,7,1.01,1000,8.8,9.6,110,1000,95,920,1.41,1.44
"19/03/2015 11:22:15",NA,NA,4,7,1.01,1000,8.8,9.6,110,1000,95,920,1.41,1.46
"20/03/2015 10:34:47",NA,NA,4,7,1.01,1000,8.8,9.6,120,1000,100,1000,1.41,1.46
"21/03/2015 11:31:55",NA,NA,4,7,1.01,1000,7,7.8,120,1000,100,1000,1.41,1.47
"22/03/2015 22:51:17",NA,NA,4.5,7,100,1000,6.8,7.8,110,1000,95,1000,1.4,1.45
"23/03/2015 07:54:12",NA,NA,4.7,7,100,1000,6.8,7.8,110,1000,95,1000,1.4,1.45
"23/03/2015 17:25:46",NA,NA,4.7,7,100,1000,6.6,7.8,110,1000,95,1000,1.41,1.45
"24/03/2015 08:41:29",NA,NA,4.9,7,100,1000,7.2,7.8,110,1000,95,1000,1.44,1.45
"24/03/2015 20:32:10",NA,NA,4.9,7,100,1000,7.2,7.8,110,1000,95,1000,1.42,1.45
"25/03/2015 07:49:48",NA,NA,4.6,7,100,1000,6.8,8.2,110,1000,95,1000,1.45,1.46
"25/03/2015 15:13:43",NA,NA,4.6,7,100,1000,6.8,8.2,110,1000,95,1000,1.45,1.46
"26/03/2015 08:35:21",NA,NA,4.6,7,100,1000,6.6,8.2,110,1000,95,1000,1.45,1.55
"26/03/2015 19:02:47",NA,NA,4.4,7,100,1000,6.6,8.2,110,1000,95,1000,1.45,1.48
"27/03/2015 10:38:58",NA,NA,4.4,7,100,1000,6.8,8.2,110,1000,95,1000,1.45,1.48
"27/03/2015 15:26:17",NA,NA,4.4,7,100,1000,6.8,8.2,110,1000,95,1000,1.45,1.48
"28/03/2015 12:45:14",NA,NA,4.4,7,100,1000,6.8,8.2,120,1000,95,1000,1.42,1.45
"28/03/2015 16:41:08",NA,NA,4.4,7,100,1000,6.8,8.2,120,1000,95,1000,1.39,1.45
"29/03/2015 03:26:51",NA,NA,4.7,6.8,100,1000,6.8,8.2,120,1000,95,1000,1.4,1.44
"29/03/2015 11:53:47",NA,NA,4.7,7,100,1000,7,8.2,120,1000,100,1000,1.4,1.44
"29/03/2015 22:18:13",NA,NA,4.6,7,100,1000,7,8.2,120,1000,120,1000,1.4,1.44
"30/03/2015 16:51:51",NA,NA,5.2,7,100,1000,6.6,7,120,1000,120,1000,1.43,1.45
"30/03/2015 23:28:27",NA,NA,5.2,7,100,1000,6.6,7,120,1000,120,1000,1.45,1.46
