"","date","text"
"109",2014-11-14 14:49:11,"Con 290, Lab 281, LD 19, SNP 35, UKIP 3"
"110",2014-11-13 14:00:26,"Con 286, Lab 284, LD 19, SNP 35, UKIP 4"
"111",2014-11-12 15:36:53,"Con 289, Lab 281, LD 19, SNP 35, UKIP 4"
"112",2014-11-11 10:49:22,"Con 289, Lab 283, LD 20, SNP 33, UKIP 3"
"113",2014-11-10 17:07:22,"Con 287, Lab 285, LD 21, SNP 32, UKIP 3"
"114",2014-11-09 09:20:51,"Con 286, Lab 284, LD 21, SNP 33, UKIP 4"
"115",2014-11-07 10:42:33,"Con 279, Lab 299, LD 25, SNP 22, UKIP 3"
"116",2014-10-28 10:28:45,"Con 284, Lab 297, LD 24, SNP 21, UKIP 3"
"117",2014-10-27 16:28:00,"Con 281, Lab 301, LD 24, SNP 20, UKIP 3"
"118",2014-10-26 09:59:57,"Con 282, Lab 298, LD 24, SNP 21, UKIP 3"
"119",2014-10-24 10:32:05,"Con 281, Lab 300, LD 24, SNP 21, UKIP 3"
"120",2014-10-23 15:13:34,"Con 281, Lab 298, LD 25, SNP 21, UKIP 3"
"121",2014-10-22 09:10:50,"Con 280, Lab 300, LD 25, SNP 21, UKIP 3"
"122",2014-10-21 09:29:33,"Con 279, Lab 301, LD 25, SNP 21, UKIP 3"
"123",2014-10-20 12:28:23,"Con 275, Lab 306, LD 26, SNP 19, UKIP 3"
"124",2014-10-19 09:20:25,"Con 277, Lab 304, LD 25, SNP 20, UKIP 3"
"125",2014-10-17 22:23:52,"Con 278, Lab 302, LD 26, SNP 20, UKIP 3"
"126",2014-10-16 12:02:39,"Con 279, Lab 302, LD 25, SNP 20, UKIP 3"
"127",2014-10-15 10:36:50,"Con 291, Lab 294, LD 24, SNP 17, UKIP 3"
"128",2014-10-14 21:54:34,"Con 294, Lab 293, LD 23, SNP 17, UKIP 2"
"129",2014-10-13 18:16:30,"Con 297, Lab 292, LD 24, SNP 12, UKIP 3"
"130",2014-10-12 11:47:29,"Con 303, Lab 285, LD 24, SNP 13, UKIP 3"
"131",2014-10-10 17:44:47,"Con 301, Lab 287, LD 24, SNP 13, UKIP 3"
"132",2014-10-09 17:27:10,"Con 304, Lab 285, LD 23, SNP 13, UKIP 3"
"133",2014-10-08 10:36:19,"Con 304, Lab 286, LD 23, SNP 12, UKIP 3"
"134",2014-10-07 15:24:16,"Con 302, Lab 288, LD 23, SNP 12, UKIP 3"
"135",2014-10-06 12:00:20,"Con 296, Lab 295, LD 23, SNP 11, UKIP 3"
"136",2014-09-19 10:41:21,"Con 298, Lab 299, LD 20"
"137",2014-09-18 07:35:39,"Con 297, Lab 299, LD 21"
"138",2014-09-17 11:00:11,"Con 297, Lab 299, LD 21"
"139",2014-09-16 10:38:41,"Con 299, Lab 297, LD 21"
"140",2014-09-15 10:59:38,"Con 297, Lab 300, LD 20"
"141",2014-09-14 10:14:52,"Con 298, Lab 298, LD 21"
"142",2014-09-13 16:30:48,"Con 299, Lab 297, LD 21"
"143",2014-09-12 14:47:38,"Con 299, Lab 297, LD 21"
"144",2014-09-11 15:27:08,"Con 300, Lab 298, LD 20"
"145",2014-09-10 17:48:43,"Con 300, Lab 296, LD 21"
"146",2014-09-09 09:02:45,"Con 301, Lab 296, LD 20"
"147",2014-09-08 12:03:47,"Con 304, Lab 293, LD 20"
"148",2014-09-07 09:52:42,"Con 301, Lab 295, LD 20"
"149",2014-09-05 13:33:52,"Con 301, Lab 295, LD 20"
"150",2014-09-04 09:48:02,"Con 301, Lab 295, LD 20"
"151",2014-09-03 09:50:29,"Con 300, Lab 296, LD 20"
"152",2014-09-02 16:58:54,"Con 304, Lab 293, LD 19"
"153",2014-09-01 11:42:11,"Con 301, Lab 294, LD 23"
"154",2014-08-30 10:31:22,"Con 299, Lab 294, LD 25"
"155",2014-08-29 12:20:25,"Con 302, Lab 291, LD 25"
"156",2014-08-28 09:30:41,"Con 287, Lab 306, LD 25"
"157",2014-08-14 11:16:01,"Con 297, Lab 307, LD 16"
"158",2014-08-13 13:40:56,"Con 297, Lab 306, LD 15"
"159",2014-08-13 10:21:09,"Con 299, Lab 304, LD 15"
